[Id],[A][TNF_VS_Control],[M][TNF_VS_Control],[P][TNF_VS_Control],[As][TNF_VS_Control]
1007_s_at,9.94652861,-0.019096079,0.999941005,0
1053_at,9.674406352,-0.033354917,0.999941005,0
117_at,7.237693627,0.007677902,0.999941005,0
121_at,9.707989674,0.096304551,0.997359702,0
1255_g_at,4.909673964,0.038887483,0.999941005,0
1294_at,8.244197644,0.071416381,0.999941005,0
1316_at,6.202890707,0.026484871,0.999941005,0
1320_at,6.777017291,-0.055810051,0.999941005,0
1405_i_at,6.603643368,2.009346947,1.02E-05,1
1431_at,4.479315124,-0.093301427,0.942599344,0
1438_at,7.619593102,-0.061549474,0.999941005,0
1487_at,8.40940563,0.079633471,0.962336635,0
1494_f_at,7.528794425,-0.027691773,0.999941005,0
1598_g_at,10.58487977,-0.156523711,0.6492902,0
160020_at,9.670257295,0.408531397,0.27916999,0
1729_at,8.444406865,0.07568299,0.953866184,0
177_at,6.736262689,-0.137512025,0.77429594,0
1773_at,7.726178193,-0.102529977,0.89760271,0
179_at,10.19734731,-0.007521812,0.999941005,0
1861_at,7.886124139,-0.077473992,0.999941005,0
200000_s_at,11.06943485,-0.064517809,0.999941005,0
200001_at,12.60589502,0.014789495,0.999941005,0
200002_at,12.87701796,-0.024149859,0.999941005,0
200003_s_at,13.22492354,-0.072558347,0.957418977,0
200004_at,12.48361574,-0.017674368,0.999941005,0
200005_at,11.34031585,0.022201538,0.999941005,0
200006_at,12.48083797,0.01309885,0.999941005,0
200007_at,12.12594899,-0.093710996,0.896247961,0
200008_s_at,11.0281283,-0.089940284,0.979090306,0
200009_at,12.17173986,-0.013537882,0.999941005,0
200010_at,12.95239228,-0.085180558,0.950924092,0
200011_s_at,10.68779117,0.288009552,0.15754251,0
200012_x_at,13.09383349,-0.058534796,0.995794726,0
200013_at,13.18162418,-0.095754982,0.895926584,0
200014_s_at,11.66837888,0.090027902,0.934622507,0
200015_s_at,11.67933302,-0.025304375,0.999941005,0
